facet_desc_0,question_0,answer_1_0,answer_2_0,facet_desc_1,question_1,answer_1_1,answer_2_1,facet_desc_2,question_2,answer_1_2,answer_2_2,facet_desc_3,question_3,answer_1_3,answer_2_3,facet_desc_4,question_4,answer_1_4,answer_2_4
information about the sales tax in Illinois: what is the rate and what is it levied on,may i tell you how much the state income tax in illinois is,"No, I want to know about the sales tax in Illinois: what is the rate and what is it levied on.",no,What is the common name for angular cheilitis?,are you interested in what can cause angular cheilitis,"No, I want to know the common name for angular cheilitis.",no,Who are the sports reporters for the Rocky Mountain News?,would you like to read recent news about the rocky mountain news,"Yes, I would like to know who the sports reporters are.",yes,Find poems written for Poem In Your Pocket Day.,are you looking for templates to print out for poem in your pocket day,"No, I want to find poems that have already been written.",no,What are the boundaries of the political jurisdictions in Brazil?,are you planning a trip to brazil,"No, I just want to know the boundaries of the political jurisdictions in Brazil.",yes
Find information about buying real estate in India.,would you like to learn about expats living in india,"No, I want to buy real estate in India.",no,Where can I go on a hay ride in Pennsylvania?,are you interested in a specific area in pennsylvania for hayrides,"No, I just want to know where I can go on a hayride in general.",no,"What was the 2008 budget for Cass County, MO?",which part of cass county are you referring to,I want to know the 2008 budget for the entire county.,i dont know,What computer programming languages are there?,are you interested in programming courses for children,"No, I want to know what computer programming languages are there.",no,"What is the address of the Ontario, CA airport?",would you like to know more about ontarioca airport services,"No, I just need the address.",no i would like to know the address of the oca airport
Find the sports section of the Milwaukee Journal Sentinel.,which section of the paper do you want,I want the sports section.,yes i want the sports section of the milwaukeejournalstation,How do you treat severe angular cheilitis?,are you interested in home remedies for angular cheilitis,"No, I want to know how to treat severe angular cheilitis.",yes,Find calorie counts and other nutritional information about Starbucks products.,are you looking for a specific web page,"Yes, I want to find calorie counts and other nutritional information about Starbucks products.",no i am looking for calorie count and nutritional information,Provide pressure washer reviews and/or ratings.,do you want a pressure washer with a certain engine,I want to know the reviews and ratings for pressure washers.,no i want ratings and ratings,Find information on shoeing horses and horseshoe problems.,do you want to know about how horse hooves are grown,"No, I want to know about shoeing horses and horseshoe problems.",yes i need information about shoeing horses and horseshoe problems
What are the educational benefits of social networking sites?,what type of educational advantages are you seeking from social networking,I want to know what are the educational benefits of social networking sites.,i dont know,How is workplace diversity achieved and managed?,do you need the definition of diversity,"No, I want to know how workplace diversity is achieved and managed.",yes i want to kyesw the definition of the best way of achieving it,What was the name of Elvis Presley's home?,do you mean the home that elvis presley grew up in,Yes.,no,"I want to find online guides, tips, and checklists for planning a wedding.",are you looking for advice on wedding budgeting,"Yes, I want to find online guides, tips, and checklists for planning a wedding.",no i want to find online resources on wedding planning,image of the Declaration of Independence at the National Archives,which use of that quote are you interested in,I want to know about the image of the Declaration of Independence at the National Archives.,this is not related to my search
Find a black-and-white outline map of the United States such that a child could color.,do you want to see a map of united states territories,"No, I want a black-and-white outline map of the United States such that a child could color.",yes,What famous generals fought in the US civil war?,do you want specific or general details on battles,I want to know about famous generals.,no i want to know the famous battles,What problems have afflicted the Ford Edge car model?,what problems with the ford edge are you asking about transmission liftgate brakes etc,I don't know. That's why I'm asking.,yes i want to kyesw about the car model,"What is the address of the Ontario, CA airport?",do you mean an airport in canada,"No, I mean an airport in California.",no i am looking for a specific address,Find reviews of the Ritz Carlton Lake Las Vegas.,do you need a reservation at the ritz carlton in las vegas,"No, I need reviews of the Ritz Carlton Lake Las Vegas.",no i want reviews
"Find flight information for the Ontario, CA airport.",do you know how long your trip will be,I need a round trip ticket from September 1-5.,yes i am looking for the actual flight information,"Find the homepage for the city of Hoboken, NJ.",do you want to visit hoboken,"No, I want the homepage for the city of Hoboken, NJ.",no i want to find the city of hoboken ny,Find some recipes from The Pampered Chef.,are you wondering what pampered chef sells,"No, I want to know about their recipes.",no i want recipes from the pampered cook,Find information for visitors and immigrants about living in India.,what part of india are you interested in,I'm interested in living in India.,i dont know,Find information on the Land Rover Defender sport-utility vehicle.,is your child playing soccer,"No, I want to know about the Land Rover Defender sport-utility vehicle.",yes
"Find demographic information about Cass County, MO.",are you interested in a list of homes for sale in cass county,"No, I want to know the population ofCass County, MO.",no,"I would like to find reviews of The Pampered Chef programs, products, and recipes.",would you like to see the current pampered chef catalog,"No, I would like to find reviews of The Pampered Chef programs, products, and recipes.",yes i want to read reviews of the pampered cook programs and recipes,"Looking for any historical information related to Orcas Island: geographical, buildings, people, infrastructure, etc.",would you like to learn about the origin of the name of orcas island,"No, I want to know about the geographical, buildings, people, infrastructure, etc.",yes,Find information on kiwi fruit.,would you like to know how to grow kiwi fruit,"No, I would like to know the nutritional value of kiwi fruit.",no,discussion of the impending sale of the Rocky Mountain News,are you interested inn information about the national park,"No, I want to know about the sale of the Rocky Mountain News.",yes
Find some recipes from The Pampered Chef.,would you like to see the current pampered chef catalog,"No, I want to see some recipes.",yes i would like some recipes from the pampered cook,Find specific events in New York City connected to Poem In Your Pocket Day.,did you want to know when poem in your pocket day is,"Yes, I want to know when poem in your pocket day is and what specific events are happening in New York City for it.",no i want to know events,What causes angular cheilitis?,are you looking for best treatments for angular cheilitis,"No, I want to know what causes angular cheilitis.",no,Find printable maps of the United States.,are you interested in learning more about the us map,"No, I just want to find a printable map of the United States.",yes i am looking for printable maps of the us map,List online computer programming tutorials.,are you looking for nearby coding classes,"No, I want a list of online tutorials.",no i am looking for tutorials about computer programming
What home remedies are there for angular cheilitis?,are you looking for the definition of angular cheilitis,"No, I am looking for home remedies for angular cheilitis.",yes i want to kyesw about home remedies,"Find a street-level map of Hoboken, NJ.",are you looking for hoboken hotels,"No, I want a street-level map of Hoboken, NJ",no i am looking for a street level map of the city,Find information on the Kentucky Derby Museum.,are you interested in the racing schedule,"No, I want to go to the Kentucky Derby Museum.",no i am looking for general information on the kentucky Derby museum,What is the scientific name of the blue-throated hummingbird?,are you looking for any specific photos,"No, I just want to know the scientific name.",yes i want to kyesw the scientific name,Find pictures of horse hooves.,do you want to inquire about horse hooves,"No, I want to find pictures of horse hooves.",yes
quotes about independence,would you like to know the gettysburg address,"No, I would like to know quotes about independence.",no,The blue-throated hummingbird is native to what areas?,would you like information about their breeding,"No, I would like to know what areas the blue-throated hummingbird is native to.",yes,"What services/facilities does the Ontario, CA airport offer?",would you like to hear nes about ontario california airport,Yes,yes i would like to kyesw what services they offer,How does one build an adobe house?,do you want to learn how an adobe indian house is made,Yes,yes,"Who said ""all men are created equal""?",would you like to learn about the author of that quote,Yes.,no
Find restaurants in Hoboken.,are you looking for a specific web page,"No, I am looking for restaurants in Hoboken.",no i am looking for a specific website,What hobby stores carry trains?,do you want to know hours of operation,"No, I want to know if they carry trains.",yes i want to kyesw where to get them,How does one build an adobe house?,do you want to know about pueblo hopi or american indian houses,I want to know about how to build an adobe house.,no,"What treatments are available for CCFT, carotid cavernous fistula?",what causes carotid cavernous fistula,I don't know. What are treatments for carotid cavernous fistula?,no i am looking for treatments,Find information on the racing schedule at Churchill Downs.,is there any specific race on your mind,I just want to see the schedule for Churchill Downs.,yes i am looking for information on the race schedule at Churchill Downs
How does one build an adobe house?,are you looking for a tour of adobe indian houses,"No, I would like to know how to build an adobe house.",yes,"Find recipes from Starbucks, either for making or using Starbucks products.",are you looking for a specific web page,"I want to find recipes from Starbucks, either for making or using Starbucks products.",yes i am looking for recipes for using or using Starbucks,Find the homepage for the NASA Voyager mission.,do you want to know more about the nasa voyager program,Yes,yes i am looking for the website for the nasa voyager mission,Find information about horses' hooves and how to care for them.,do you need your horses hooves trimmed,"Yes, I would like to know how to care for my horse's hooves.",yes i want information about hooves and how to care for them,What kinds of solar panels and photovoltaic cells are there?,do you want annual savings totals if you install solar panels,"No, I just want to know what kinds there are.",yes i want information on solar panels and cell types
Who are the sports reporters for the Rocky Mountain News?,are you talking about news in colorado,"Yes, I'm talking about news in Colorado. Who are the sports reporters for the Rocky Mountain News?",yes,"I would like to find reviews of The Pampered Chef programs, products, and recipes.",would you like to find pampered chef recipes,"No, I would like to find reviews of The Pampered Chef programs, products, and recipes.",yes,Find a site where I can determine room price and availability.,would you like to know the capacity of ritz carlton lake las vegas,"No, I want to know the room price and availability.",yes i would like to kyesw where i can buy and sell a room in the ritz,"Are Animal Cuts safe to use, and are they effective?",why are you looking to add supplements to your diet,I'm trying to get shredded for the summer. I want to know if Animal Cuts are safe to use and effective.,no,"Find the homepage for the city of Hoboken, NJ.",do you want to see points of interest in hoboken,"No, I want to find the homepage for the city of Hoboken, NJ.",no i want to go to the city website
"What services/facilities does the Ontario, CA airport offer?",do you need directions to ontario california airport,"No, I'm looking for a list of services and facilities that the airport offers.",no i want to know what services they offer,Find free activities and materials for running a diversity training program in my office.,are you looking for a specific content related to diversity,"Yes, I'm looking for free activities and materials for running a diversity training program in my office.",yes i want to find free activities and materials for running a diversity training program in my office,Can I grow a kiwi fruit tree?,are you referring to the fruit or the people from new zealand,the fruit,no,information about the drafting of the Declaration of Independence,would you like to know the gettysburg address,"no, I want to know about the drafting of the Declaration of Independence",yes i would like to know the drafting of the the declaration of the indiana,"Find demographic information about Cass County, MO.",do you want to know about the crime rate in cass county missouri,"No, I want to know the population density.",no i want to know more about the demographics of the county in general
Find reviews of the Ritz Carlton Lake Las Vegas.,would you like the location of the ritz carlton lake las vegas,"No, I would like to see reviews of the Ritz Carlton Lake Las Vegas.",no i am looking for reviews,Find information about nano-technological solar power.,are you looking for information on purchasing and installing solar panels,"No, I want to know about the technology of solar panels.",no i want information about solar power,Find archives of articles from the Milwaukee Journal Sentinel.,which reporters are you interested in reading articles from,"I don't know, just general articles.",i dont know,I'm looking for companies that appraise jewelry.,are you offering appraisal services,"No, I'm not offering appraisal services. I'm looking for companies that appraise jewelry.",yes i am looking for companies that specialize in the appraisal process,"Find a map of the area around the US Capitol, including nearby sites to visit.",do you want to know what details are on a us capitol map,"No, I want a map of the area around the US Capitol, including nearby sites to visit.",no i want a map of the area
image of the Declaration of Independence at the National Archives,are you trying to look up a speech,"no, I want to know where I can find an image of the Declaration of Independence at the National Archives",no i am trying to find a map of the declaration of the patriots,"What treatments are available for CCFT, carotid cavernous fistula?",how long does it take to treat carotid cavernous fistula,"I don't know, that's why I'm asking. What treatments are available for CCFT?",i dont know,"Find information about the television series, ""Star Trek: Voyager""",do you want to know where to get a book on the voyager,"No, I want to know about the television series, ""Star Trek: Voyager.""",yes,"What hotels are near the Ontario, CA airport?",would you like to book a flight at ontario california airport,"No, I would like to know what hotels are near the airport.",no i need a list of hotels near the airport,What companies can give an appraisal of my home's value?,do you want to know the cost of an appraisal,"No, I want to know what companies can give an appraisal of my home's value.",yes i want to kyesw about the average price
What are the best ways of disposing of dog waste?,would you like to do online shopping,"No, I would like to know what are the best ways of disposing of dog waste.",yes i am interested in the best ways to dispose of dog waste,information on the state income tax in Illinois,for which year would you like to know the illinois state tax,"I don't want the sales tax, I want the income tax.",yes i need tax information,I am looking for spreadsheets or templates to help me tabulate a budget for a wedding.,were you interested in a free or paid budget calculator,"I don't know, whatever is the best.",yes i would like to see a list of free or paid options,Describe the anatomy of horses' feet and hooves.,are you asking about a horses feet,"Yes, I want to know about the anatomy of horses' feet and hooves.",yes,Find information on the Land Rover Defender sport-utility vehicle.,would you like to visit a specific web page,Yes,yes
What are the educational benefits of social networking sites?,do you want to know how you get education advantages from using social networking sites,Yes.,yes,Can I order dog clean-up bags online?,do you want to know if they are a requirement where you live,"No, I just want to know where I can order them.",yes i want to kyesw if i can order them online,"Find information about the television series, ""Star Trek: Voyager""",are you referring to the voyager 1 or voyager 2,"I'm referring to the television series, ""Star Trek: Voyager.""",no i am,Take me to the Starbucks homepage.,are you looking for specific information about starbucks gift cards,"No, I want to be taken to the Starbucks homepage.",yes im looking for the website for the company i am looking for for information about at least i can,What companies can give an appraisal of my home's value?,are you looking for a type of appraiser,I am looking for companies that can give an appraisal of my home's value.,no i want to know about an appraisal
What are the best ways of disposing of dog waste?,do you want to know the cost,"No, I want to know the best ways of disposing of dog waste.",no i want to know the best ways to dispose of dog waste,"Information about zoning regulations in Cass County, Missouri.",would you like to know more about the city,"No, I would like to know about the zoning regulations.",yes,What is cultural diversity? What is prejudice?,in what setting do you need to know more about diversity,I need to know about cultural diversity and prejudice.,yes,Find information on Breeders Cup races.,are you looking for events at churchill downs,"Yes, I want to see the upcoming events at Churchil Downs.",no i am looking for information on breeders cup races,"I am looking for newcomer information for Cass County, Missouri.",is there any important documents youre trying to access,"I'm just looking for some general information about Cass County, Missouri.",yes
Find information about the Ritz Carlton resort at Lake Las Vegas.,are you wondering where the ritz carlton in las vegas is located,"No, I am not wondering that.",yes i am wondering about the ritz carlton resort,I'm looking for locations of Starbucks stores worldwide.,would you like the location of the nearest starbucks,I'm looking for locations of Starbucks stores worldwide.,yes i want locations in all of the world,"What is the address of the Ontario, CA airport?",would you like to hear departure times for ontario california airport,"No, I would like the address please.",yes i would like the address of the oca california airport,What kinds of solar panels and photovoltaic cells are there?,are you looking for a specific type of solar panels,I want to know what kinds of solar panels and photovoltaic cells are there.,no,What are the different brands of pressure washers?,are you looking for the nearest location to buy a pressure washer,"No, I want to know what different brands of pressure washers there are.",yes i want to kyesw what brands are available
information about the sales tax in Illinois: what is the rate and what is it levied on,would you like to know when the illinois state tax is due,"No, I would like to know the rate and what is it levied on.",yes i want to kyesw the rate and levy it on the indiana state,"Find recipes from Starbucks, either for making or using Starbucks products.",are you looking for a recipe,"Yes, I want to find recipes from Starbucks, either for making or using Starbucks products.",yes i am looking for recipes for Starbucks,How do you treat severe angular cheilitis?,are you looking for websites that describe angular cheilits,"No, I want to know how to treat severe angular cheilitis.",no i am looking for information on treating them,information about Indian tribes that used adobe houses,what type of adobe indian house are you looking for,I would like information about Indian tribes that used adobe houses.,i dont know,Find testimonials of Universal Animal Cuts nutritional supplement.,would you like to purchase universal animal cuts,I would like to find testimonials of the product,yes i want to find testimonials of the supplements
"Find a map of the area around the US Capitol, including nearby sites to visit.",do you want a map of washington dc,"No, I want a map of the area around the US Capitol, including nearby sites to visit.",no,I want to find some example wedding budgets.,were you interested in a free or paid budget calculator,I want to find some example wedding budgets.,no i am looking for a wedding budget calculator,I want to go to the homepage for Defender Marine Supplies.,are you interested in the television series defender,"No, I want to go to the homepage for Defender Marine Supplies.",yes i am interested in the website for the website for the defender marine supply company,I'm looking for web sites that do antique appraisals.,would you like to find appraisers near you,"No, I want to know about web sites that do antique appraisals.",no i am looking for sites that do antique appraisals,What is the scientific name of the blue-throated hummingbird?,would you like to learn about how fast blue throated hummingbirds are,"No, I want to know the scientific name of the blue-throated hummingbird.",no i would like to kyesw the scientific name
How is workplace diversity achieved and managed?,would you like to know how diversity helps or harms an organization,how is workplace diversity achieved and managed?,no,"Find a street-level map of Hoboken, NJ.",do you want to see points of interest in hoboken,"No, I want a street-level map of Hoboken, NJ.",yes i want a street map of the city,Sites that sell Universal Animal Cuts that include product reviews.,why are you looking to add supplements to your diet,I'm not looking to add supplements to my diet. I'm looking for a product called Universal Animal Cuts that include product reviews.,no i am looking for a place to sell them,I am looking for spreadsheets or templates to help me tabulate a budget for a wedding.,would you like to find an app for wedding budgeting,"No, I would like to find a spreadsheet or template that I can use to help me tabulate a budget for my wedding.",yes i would like a spreadsheet,Find a list of hobby stores in Maryland.,why type of hobby arts and crafts or sports,both,no i need a list of stores
"Find cures for baldness (other than hair replacement, hair transplants, or wigs).",would you like to see a reddit page on possible balding cures,"No, I want to know about other balding cures that are not hair replacement, hair transplants, or wigs.",yes,Where can I learn about rock painting or buy a rock-painting kit?,are you looking for information about cave painting in any location,"No, I want to learn about rock painting and where I can buy a rock-painting kit.",yes i want information on rock painting kits,What are the boundaries of the political jurisdictions in Brazil?,would you like to know information about vacation in brazil,"No, I want to know the boundaries of the political jurisdictions in Brazil.",yes i want to kyesw about the political jurisdictions in Brazil,What treatments exist for von Willebrand Disease?,are you interested in the types of von willebrand disease,"Yes, I want to know what treatments exist for von Willebrand Disease.",no i would like to know the treatments,Where can I buy rock and roll posters?,are you wondering what rock art is,"No, I want to know where I can buy rock and roll posters.",yes
Find detailed geographic maps of the United States.,do you want to see a map of united states territories,"No, I want to see a map of the United States with all the states.",yes,What's in a computer science degree program?,are you interested in coding courses online,"No, I want to know what's in a computer science degree program.",yes i am,Find a black-and-white outline map of the United States such that a child could color.,which language of us map would you prefer,I want a black-and-white outline map of the United States such that a child could color.,no i want a black and white map of the united states,Find information about the Ritz Carlton resort at Lake Las Vegas.,would you like to read some reviews of the ritz carlton lake las vegas,Yes.,no i would like to know more about the resort,Find US road maps.,do you want to see a map of the continental united states,"No, I want to see a map of all the roads in the USA.",no
Find information about horses' hooves and how to care for them.,are you looking for information on the anatomy of horse hooves,"Yes, and how to care for them.",no,"I would like to find reviews of The Pampered Chef programs, products, and recipes.",are you wondering what pampered chef sells,"I would like to find reviews of The Pampered Chef programs, products, and recipes.",yes i am looking for reviews of the pampered chef programs and recipes,What is the website for HobbyTown USA?,are you looking for a specific hobby store,"Yes, I'm looking for HobbyTown USA.",no,What are the boundaries of the political jurisdictions in Brazil?,would you like a transportation map of brazil,"No, I want to know the boundaries of the political jurisdictions in Brazil.",yes,"What was the 2008 budget for Cass County, MO?",which neighborhood in cass county are you interested in,"I want to know the 2008 budget for Cass County, MO.",yes i am interested in the 2008 budget for Cass county missouri
"Find real estate listings for Hoboken, NJ.",do you want information on the climate of hoboken,"No, I want to find real estate listings for Hoboken, NJ.",yes i need real estate listings for hodgoken,Where can I buy replacement parts for pressure washers?,are you wondering what a pressure washer is,"No, I know what a pressure washer is. I just want to know where I can buy replacement parts for pressure washers.",no i want to know how to purchase a used one,Find a timeline or map of US civil war battles.,do you need a list of civil war battles,"Yes, I need a timeline or map of US civil war battles.",yes i would like a timeline of the battles,"What are some injuries or diseases of hooves in horses, and how are they treated?",what would you like to know about horse hooves,"What are some injuries or diseases of hooves in horses, and how are they treated?",yes,information about the drafting of the Declaration of Independence,are you trying to look up the constitution,"no, I want to know about the drafting of the Declaration of Independence",yes i want to kyesw about the drafting of the declaration of the indiana
Find restaurants in Hoboken.,are you looking for information about the hoboken medical center,"No, I'm looking for restaurants in Hoboken.",yes,How can I plan an inexpensive wedding?,would you like to see articles about wedding budgeting,Yes,no i am looking for information on how to plan an inexpensive wedding,"How has the phrase ""all men are created equal"" been interpreted over time by the US surpreme Court?",would you like to learn about the origin of that quote,"No, I want to know how it has been interpreted over time by the US surpreme Court.",no,What are the different brands of pressure washers?,do you wish to rent a pressure washer,"No, I want to know what the different brands of pressure washers are.",yes,What are the migration patterns of the blue-throated hummingbird?,are you wanting to know its scientific name,"No, I want to know the migration patterns of the blue-throated hummingbird.",yes i want to kyesw the migration patterns of the bluethroated hummingbird
Find information on kiwi fruit.,are you interested in images of the kiwi fruit,"No, I want to know about the kiwi fruit itself.",no,"Find real estate listings for Hoboken, NJ.",are you looking for information about the hoboken medical center,"No, I'm looking for real estate listings for Hoboken, NJ.",yes,discussion of the impending sale of the Rocky Mountain News,do you want to watch news videos or read the news,I want to read the news.,no i want to know the upcoming sale of the newspaper,Provide pressure washer reviews and/or ratings.,are you wondering how a pressure washer works,"No, I want to know where I can buy pressure washers.",no i am looking for ratings and reviews,What is the website for HobbyTown USA?,are you looking for coupons,"No, I'm looking for the website for HobbyTown USA.",yes i am looking for the website for hobbytowns
Find the Milwaukee Journal Sentinel web site.,are you interested in a subscription to the milwaukee journal sentinel,"No, I just want to find their website.",no i want to see the web site for the milwaukee journal sentinel,"I would like to find reviews of The Pampered Chef programs, products, and recipes.",would you like to find the nearest pampered chef consultant,"No, I would like to find reviews of The Pampered Chef programs, products, and recipes.",no i would like to find reviews of the pampered cook programs and recipes,How do I host a Pampered Chef cooking show?,would you like to find pampered chef recipes,"No, I want to know how to host a Pampered Chef cooking show.",yes,What is von Willebrand Disease?,are you interested in the types of von willebrand disease,Yes,yes,What problems have afflicted the Ford Edge car model?,would you like to read reliability reports on the ford edge,"No, I want to know what problems have afflicted the Ford Edge car model specifically.",no
What problems have afflicted the Ford Edge car model?,would you like to read reliability reports on the ford edge,"No, I want to know what problems have afflicted the Ford Edge car model specifically.",yes,"What are some injuries or diseases of hooves in horses, and how are they treated?",are you looking for a diagram of a horse hoof,"No, I want to know about injuries or diseases of hooves in horses and how they are treated.",no,What computer programming languages are there?,are you looking for nearby coding classes,"No, I want to know what computer programming languages are there.",yes i am looking for computer languages,Find archives of articles from the Milwaukee Journal Sentinel.,would you like to read about sports or news,I want to find archives of articles.,yes,What type of careers are there for computer programmers?,do you need any specific information about its job market,"No, I just want to know what type of careers are there for computer programmers.",no i want to know what types of computer programmers are available
I'm looking for web sites that do antique appraisals.,what do you need appraised,I need to know about antique appraisals.,i dont kyesw,How is workplace diversity achieved and managed?,are you looking for educational materials about diversity,yes,yes i want to kyesw how it is achieved and managed,Find directions to the Ritz Carlton Lake Las Vegas.,would you like the history of ritz carlton lake las vegas,"No, I would like the directions to it.",no,I am looking for information about taking a vacation trip to Brazil.,what would you like to know about brazil,I am looking for information about taking a vacation trip to Brazil.,no i would like information about taking a trip to Brazil,What movies have been made about US civil war battles?,do you want to know a history of all battles in the war,"No, I want to know what movies have been made about US civil war battles.",no i want to know about movies about the war
Find the sports section of the Milwaukee Journal Sentinel.,which year archives are you looking for,I'm not looking for archives. I want to find the sports section of the Milwaukee Journal Sentinel.,i dont know,Find information on kiwi fruit.,are you looking for information on the kiwi bird,"No, I want information on the kiwi fruit.",yes,"I'm looking for information on Defender, an arcade game by Williams. Is it possible to play it online?",are you referring to the arcade game called defender,"Yes, I want to know if it's possible to play it online.",yes,Find information on shoeing horses and horseshoe problems.,do you want to know what horse hooves are made from,"No, I want to know more about shoeing horses and horseshoe problems.",yes,"Find cures for baldness (other than hair replacement, hair transplants, or wigs).",do you want balding cures for women,Yes,yes
What does the US capital tax rate consist of and how is it broken down?,would you like to know how to avoid capital gains tax rate,"No, I want to know the US capital gains tax rate and how it is broken down.",no i want to know how the us capital tax rate is broken down,"Information about zoning regulations in Cass County, Missouri.",are you looking for a specific part of missouri,"Yes, I am looking for the zoning regulations in Cass County, Missouri.",no,What hobby stores carry trains?,are you looking for a radiocontrolled plane,"No, I'm looking for information on stores that carry trains.",no,Find information on the racing schedule at Churchill Downs.,are you looking for directions to churchill downs,"No, I want to know the racing schedule.",no i want to know the schedule for the race,Find restaurants in Hoboken.,are you looking for an apartment in hoboken,"No, I'm looking for restaurants in Hoboken.",no i am looking for an area to stay
Describe the anatomy of horses' feet and hooves.,what problem is your horse having with their hooves,"I don't have a horse, I just want to know more about them.",yes,What do atypical squamous cells mean on a pap smear test?,are you interested in atypical squamous cells in a test result,Yes,yes,"Who said ""all men are created equal""?",would you like to learn about the origin of that quote,Yes.,yes,Take me to the Starbucks homepage.,are you looking for a specific web page,"Yes, I want to go to the Starbucks homepage.",no i am looking for the website for the company called the stamfordes website,Find the Milwaukee Journal Sentinel web site.,what information about the history of the paper are you interested in,"I'm not interested in the history of the paper, I just want to find the web site.",i dont know
Is Brooks Brothers catalog merchandise available at their outlet stores?,would you like to know about the brooks brothers clearance return policy,"No, I want to know if Brooks Brothers catalog merchandise is available at their outlet stores.",no i want to know where they are available,Find the homepage for the NASA Voyager mission.,do you want to know which planets voyager has visited,"no, I want the homepage for the NASA Voyager mission.",no,Provide pressure washer reviews and/or ratings.,are you looking for the nearest location to buy a pressure washer,"No, I want to know the best pressure washer to buy.",yes i am looking for reviews and ratings,How do I host a Pampered Chef cooking show?,would you like to find the nearest pampered chef consultant,"No, I want to know how to host a Pampered Chef cooking show.",yes,"Find a street-level map of Hoboken, NJ.",do you want directions to hoboken,"No, I want a street-level map of Hoboken, NJ.",yes i need a map of the city
Find the seating chart of Churchill Downs.,would you like to know the history of churchill downs,"No, I would like to find the seating chart of Churchill Downs.",yes i would like the chart of the bellvos,What is von Willebrand Disease?,are you looking for specific information about von willebrand disease,"Yes, I am looking for specific information about von Willebrand Disease.",no,Find information about the Ritz Carlton resort at Lake Las Vegas.,are you looking for the closest lake to the ritz carlton in las vegas,"No, I'm looking for the Ritz Carlton resort at Lake Las Vegas.",yes,Find information for visitors and immigrants about living in India.,would you like more information about the challenges of living in india,Yes,yes i want to kyesw about living in india,Find some recipes from The Pampered Chef.,are you trying to buy pampered chef,"No, I just want to know if you have any recipes from The Pampered Chef.",no i am looking for recipes for pampered cooking
How is workplace diversity achieved and managed?,are you looking for a definition of diversity,yes,yes i want to kyesw how the workplace is done,I want to find some example wedding budgets.,would you like to find an app for wedding budgeting,"No, I want to find some example wedding budgets.",no i am looking for wedding budgets,"What tourist attractions are in Cass County, MO?",are you looking for government service,"No, I'm looking for tourist attractions in Cass County, MO",yes i want to kyesw tourist attractions in cass county,I am looking for information about taking a vacation trip to Brazil.,what are you trying to find in brazil,I am looking for information about taking a vacation trip to Brazil.,i dont know,Where are Brooks Brothers outlet stores located?,do you want find clothing stores,"No, I want to find Brooks Brothers outlet stores.",yes i am looking for stores
Find detailed geographic maps of the United States.,would you like to know where the us is located on the map,I want a detailed geographic map of the United States.,no,Find political maps of the United States showing the states and their capitals.,are you interested in knowning the 50 states in the world,"Yes, I want the 50 states in the world and their capitals.",no i want to see political maps of the united states,What are the educational benefits of social networking sites?,what ages do you want to know about education with social networking,All ages.,yes,Find history about life and culture in India.,what part of india are you interested in,I want to know about the life and culture in India.,no,home page of the Rocky Mountain News,who do you want to find news reported by,I want the home page of the Rocky Mountain News.,yes
What treatments exist for von Willebrand Disease?,which animal are you interested in knowing about in regards to von willebrand disease,I am interested in knowing about humans.,yes i want to know what treatment they have,"What services/facilities does the Ontario, CA airport offer?",would you like to know more about ontarioca airport services,"Yes, I would like to know about the services/facilities that the ontario, CA airport offers.",no i would like to know more about the services and facilities provided by the oca california,"How has the phrase ""all men are created equal"" been interpreted over time by the US surpreme Court?",are you trying to look up the constitution,"No, I want to know how the phrase ""all men are created equal"" has been interpreted over time by the US Supreme Court.",no,I want to find some example wedding budgets.,did you want to see examples of budget weddings,"Yes, I want to see some example wedding budgets.",yes i want to see examples of wedding budgets,Find directions to the Ritz Carlton Lake Las Vegas.,are you wondering where the ritz carlton in las vegas is located,"Yes, I would like to know how to get to the Ritz Carlton Lake Las Vegas.",yes i am looking for directions to the ritz carlton lake las vegas
"Find real estate listings for Hoboken, NJ.",are you looking for hoboken hotels,"No, I am looking for real estate listings for Hoboken, NJ.",yes i am looking for real estate listings for Hoboken NJ,Is Brooks Brothers catalog merchandise available at their outlet stores?,do you want find clothing stores,"No, I want to find out if Brooks Brothers catalog merchandise is available at their outlet stores.",yes,Find US road maps.,are you looking for a paper version of us map,"No, I need a digital map.",yes i want to find us road maps,"I am looking for newcomer information for Cass County, Missouri.",do you want to know about the crime rate in cass county missouri,"No, I am looking for newcomer information.",no i want information about the county that is named after me,Find directions to the Ritz Carlton Lake Las Vegas.,do you need a reservation at the ritz carlton in las vegas,"No, I just need directions to the Ritz Carlton Lake Las Vegas.",yes
Take me to the Starbucks homepage.,is there a specific starbucks product you need information on,"No, I just want to go to the homepage.",no i need the homepage for the brand of the company that sells them,Can I order dog clean-up bags online?,how many dog lean up bags were you wanting to purchase,"I don't know, enough to last me a while.",i dont know,Find pictures of horse hooves.,are you looking for information on the anatomy of horse hooves,"No, I want to find pictures of horse hooves.",no i want to see pictures of them,Find information on how the electronic medical record (or electronic health record) has evolved through the years.,are you interested in a specific time when electronic medical record keeping started,"Yes, I want to know how it has evolved through the years.",yes,What hobby stores carry trains?,is this a hobby where anyone can build things,"No, it's a store where people can purchase items related to their hobbies.",yes i am looking for a list of all the stores
