facet_desc_0,question_0,answer_1_0,answer_2_0,shuffled_0,facet_desc_1,question_1,answer_1_1,answer_2_1,shuffled_1,facet_desc_2,question_2,answer_1_2,answer_2_2,shuffled_2,facet_desc_3,question_3,answer_1_3,answer_2_3,shuffled_3,facet_desc_4,query_4,question_4,answer_1_4,answer_2_4,correct_4,query_1,correct_1,shuffled_4,query_3,correct_3,query_0,correct_0,query_2,correct_2
How is workplace diversity achieved and managed?,are you looking into diversity in hiring,yes,No I am looking for the outcome of the company in general,False,"What hotels are near the Ontario, CA airport?",would you like to book a hotel there,"No, I just want to know what hotels are near it.",No I would like to find a listing of hotels near the airport,False,"Find a map of the area around the US Capitol, including nearby sites to visit.",do you want to know if there is tour information on the us capitol map,Yes I would like a map of the area,"No, I just want a map of the area around the Capitol, including nearby sites to visit.",True,information on the state income tax in Illinois,do you want to get helping completing your illinois state tax return,"No, I want information on the state income tax in Illinois.",No I want to know about the income tax in the state of indiana,False,Health benefits of kiwi fruit.,Tell me about kiwi,Are you interested in kiwi fruit?,"I am, and its health benefits","Yes, with a touch of deep explanation over all topic anis.",answer_1,,,,,,,,,
information about Indian tribes that used adobe houses,do you need any specific information about people who resided in adobe houses,"Yes, I would like to know about Indian tribes that used adobe houses.",Yes I want information about tribes that used adobe homes,False,Where can I buy radio-controlled planes?,do you want stores with physical locations or online stores,I want to know where I can buy radio-controlled planes.,No I need to find a radiocontrolled plane,False,Information about kiwi fruit.,Are you interested in kiwi fruit?,"yes, quite punctionality of the fruitz","no, I am not",,Where are Brooks Brothers outlet stores located?,are you looking for a brooks brothers outlet,No I am looking for stores located near me,"Yes, I'm looking for a Brooks Brothers outlet store.",True,Find calorie counts and other nutritional information about Starbucks products.,,are you looking for current news related to starbucks,"No, I want to know the calorie counts and other nutritional information about Starbucks products.",No I want information on the nutritional information for the company itself,,,,False,,,,,Tell me about kiwi,answer_2
"What services/facilities does the Ontario, CA airport offer?",is there anywhere in california youd like to go visit,Yes I want to kyesw about the services the oregon california airport offers,"No, I just want to know what services/facilities the Ontario, CA airport offers.",True,Find information on the Greek mathematician Euclid.,do you want a biography,No,"No, I want his accomplishments",True,Information about kiwi fruit.,Are you interested in kiwi fruit?,"yes, quite punctionality of the fruitz","no, I am not",,information about Indian tribes that used adobe houses,do you want to know what adobe indian houses are made out of,Yes I am interested in the tribes that used an adobe indian house,"No, I want to know about the tribes that used them.",True,What are the boundaries of the political jurisdictions in Brazil?,,do you want a map of the roads in brazil,"No, I want to know the boundaries of the political jurisdictions in Brazil.",Yes,,,,False,,,,,Tell me about kiwi,answer_2
Detailed information about kiwi bird.,Are you interested in kiwi fruit?,"yes, most fruit I love it like disco twist",no,,What is Poem in Your Pocket Day?,do you need information related to celebrating the poem in your pocket day,Yes I want to kyesw what it is,"Yes, I would like to know more about how to celebrate Poem in Your Pocket Day.",True,quotes about independence,would you like to learn more about the declaration of independence,Yes I want to learn about the definition of a man,"no, I want to know quotes about independence",True,Sites that sell Universal Animal Cuts that include product reviews.,would you like to review universal animal cuts,Yes I would like to see reviews of animal cuts,"No, I'm looking for a site that sells Universal Animal Cuts that include product reviews.",True,"What was the 2008 budget for Cass County, MO?",,would you like to know more about the city,"No, I want to know the budget for 2008.",No,,,,False,,,Tell me about kiwi,answer_2,,
Find detailed geographic maps of the United States.,do you want to see a political map of the united states,Yes,No I am looking for a map of the united states,False,"What is the address of the Ontario, CA airport?",would you like to book a flight at ontario california airport,"No, I just want to know the address.",No I want to know the address of the oregon california airport,False,Information about kiwi fruit.,Are you interested in kiwi fruit?,"yes, quite punctionality of the fruitz","no, I am not",,"I would like to find reviews of The Pampered Chef programs, products, and recipes.",are you wondering about pampered chef competitors,"No, I would like to find reviews of The Pampered Chef programs, products, and recipes.",Yes I am looking for reviews of the pampered cook programs and recipes,False,I am looking for information about taking a vacation trip to Brazil.,,do you need to know where to find a map of brazil,"No, I do not need a map of Brazil. I am looking for information about taking a vacation trip to Brazil.",No I am looking for information about taking a vacation to the city of brazil,,,,False,,,,,Tell me about kiwi,answer_2
"Find flight information for the Ontario, CA airport.",what ammendities are you looking for in your airport,I dont know,I just need to know what flights are available and their times.,True,Find poems written for Poem In Your Pocket Day.,do you need to know the date for 2019,No I am interested in poetry written for pen in your pocket,"No, I just want to know what it is.",True,Find US road maps.,are you looking for children coloring books,"No, I'm not looking for children coloring books. I want a map of the USA for a road trip.",Yes I am looking for a map of us road maps,False,How do you treat severe angular cheilitis?,are you looking for a common name for angular cheilitis,No,"No, I want to know how to treat severe angular cheilitis.",True,Health benefits of kiwi fruit.,Tell me about kiwi,Are you interested in kiwi fruit?,"I am, and its health benefits","Yes, with a touch of deep explanation over all topic anis.",answer_1,,,,,,,,,
Detailed information about kiwi bird.,Are you interested in kiwi fruit?,"yes, most fruit I love it like disco twist",no,,Are there biodegradable products for the disposal of dog waste?,are you interested in buying some,Yes,I just want to know if there are biodegradable products for the disposal of dog waste.,True,What are the symptoms of von Willebrand Disease?,do you want to know about the cause of von willebrand disease,"No, I want to know about the symptoms.",Yes,False,Find archives of articles from the Milwaukee Journal Sentinel.,are you interested in a subscription to the milwaukee journal sentinel,Yes,"No, I just want to find archives of articles.",True,What are the best ways of disposing of dog waste?,,are you referring to a specif type of dog clean up bag,No I am referring to a bag of dog waste,"No, I just want to know where I should order dog clean-up bags in general.",,,,True,,,Tell me about kiwi,answer_2,,
The blue-throated hummingbird is native to what areas?,do you want to find them in mexico or in the us,No I want to find them in me,I want to know what areas the blue-throated hummingbird is native to.,True,What causes angular cheilitis?,do you want to know how to avoid angular cheilitis,Yes,"No, I want to know what causes angular cheilitis.",True,Information about kiwi fruit.,Are you interested in kiwi fruit?,"yes, quite punctionality of the fruitz","no, I am not",,I am looking for information about taking a vacation trip to Brazil.,do you want to know an app that has maps of brazil,No I am looking for information about taking a trip to Brazil,"No, I want to know where to go if I made a crime in Brazil.",True,"I'm looking for information on planning a wedding shower, like theme ideas and budget guidelines.",,did you want to see examples of budget weddings,"No, I want a budget calculator for my wedding shower.",No I want information on how to plan a wedding in my area,,,,False,,,,,Tell me about kiwi,answer_2
Detailed information about kiwi bird.,Are you interested in kiwi fruit?,"yes, most fruit I love it like disco twist",no,,I want to go to the homepage for Defender Marine Supplies.,are you looking for defender lyrics,"No, I want to go to the homepage for Defender Marine Supplies.",Yes I am looking for the homepage for the company,False,information about the drafting of the Declaration of Independence,would you like to know more about the author,"No, I want to know about the drafting of the Declaration of Independence.",No,False,Find information for visitors and immigrants about living in India.,do you want to know foreigners feelings about living in india,No I am looking for information on living in india,Yes.,True,"I am looking for newcomer information for Cass County, Missouri.",,there are some interesting historical facts about cass county shall i show them to you,yes,No I am looking for information about the county and its history,,,,False,,,Tell me about kiwi,answer_2,,
"Find information about the television series, Star Trek: Voyager",do you want to know more about the nasa voyager program,"No, I want to know about the television series Star Trek: Voyager",No,False,Detailed information about kiwi bird.,Are you interested in kiwi fruit?,not not actually really in fruit of kiwi,"no, I am not",,Find information on shoeing horses and horseshoe problems.,are you asking about a horses feet,Yes,Yes.,True,Find pictures of horse hooves.,are you asking about a horses feet,Yes,Yes,True,Find information about solar panels that I can install on my home.,,do you want to know where solar panels are typically installed in a home,"No, I want to know about the solar panels themselves. What they are made of and how they work.",Yes,,Tell me about kiwi,answer_2,False,,,,,,
Find information on the Land Rover Defender sport-utility vehicle.,are you looking for advice on how to play soccer,No I want to know about the sportsutility vehicle,"No, I'm looking for information on the Land Rover Defender sport-utility vehicle.",True,"What hotels are near the Ontario, CA airport?",would you like to know more about ontarioca airport services,Yes I want to kyesw the nearest hotels and the nearest hotels,"No, I would like to know what hotels are near the airport.",True,Information about kiwi fruit.,Are you interested in kiwi fruit?,"yes, quite punctionality of the fruitz","no, I am not",,Find detailed geographic maps of the United States.,are you interested in a historical map of the united states,"No, I need a current map.",No,False,information about the sales tax in Illinois: what is the rate and what is it levied on,,do you want to read articles about the tax rate or know the tax rate percentage,No,I want to know the tax rate percentage and what it is levied on.,,,,True,,,,,Tell me about kiwi,answer_2
Find information about horses' hooves and how to care for them.,do you want to know what horse hooves are made from,No I want information on hooves,Yes,True,I'm looking for locations of Starbucks stores worldwide.,are you looking for a recipe,"No, I'm looking for locations of Starbucks stores worldwide.",Yes I want to find locations in stores,False,Find information about buying real estate in India.,are you interested in the best place to live in india,No I want to find information about buying real estate in india,"Yes, I am interested in finding information about buying real estate in India.",True,Detailed information about kiwi fruit.,Are you interested in kiwi fruit?,I am.,"yes, but also more on the side of things alltogether right left",,Where can I buy rock and roll posters?,,are you referring to a music genre,"No, I want to buy rock and roll posters.",Yes I am referring to a rock and roll company,,,,False,Tell me about kiwi,answer_1,,,,
Find US road maps.,which language of us map would you prefer,No I am looking for a map of us roads,I prefer the English language.,True,Find information on Breeders Cup races.,which part of churchill downs are you interested in knowing more about,I want to see the Breeders Cup races.,I dont know,False,Describe the anatomy of horses' feet and hooves.,are you looking for a diagram of a horse hoof,"Yes, I would like a diagram of a horse hoof.",No I am looking for a specific anatomy of an animal,False,Detailed information about kiwi fruit.,Are you interested in kiwi fruit?,I am.,"yes, but also more on the side of things alltogether right left",,What are the boundaries of the political jurisdictions in Brazil?,,do you need to know where to find a map of brazil,"No, I need to know the boundaries of the political jurisdictions in Brazil.",No I want to know the political jurisdictions,,,,False,Tell me about kiwi,answer_1,,,,
What computer programming languages are there?,are you looking to see how much computer programming lessons cost,Yes,"No, I want to know what computer programming languages are there.",True,information about the sales tax in Illinois: what is the rate and what is it levied on,may i tell you how much the state income tax in illinois is,No,"No, I want to know about the sales tax in Illinois: what is the rate and what is it levied on.",True,What is the common name for angular cheilitis?,are you interested in what can cause angular cheilitis,No,"No, I want to know the common name for angular cheilitis.",True,Who are the sports reporters for the Rocky Mountain News?,would you like to read recent news about the rocky mountain news,"Yes, I would like to know who the sports reporters are.",Yes,False,Health benefits of kiwi fruit.,Tell me about kiwi,Are you interested in kiwi fruit?,"I am, and its health benefits","Yes, with a touch of deep explanation over all topic anis.",answer_1,,,,,,,,,
Detailed information about kiwi bird.,Are you interested in kiwi fruit?,"yes, most fruit I love it like disco twist",no,,Find poems written for Poem In Your Pocket Day.,are you looking for templates to print out for poem in your pocket day,"No, I want to find poems that have already been written.",No,False,What are the boundaries of the political jurisdictions in Brazil?,are you planning a trip to brazil,"No, I just want to know the boundaries of the political jurisdictions in Brazil.",Yes,False,Find information about buying real estate in India.,would you like to learn about expats living in india,"No, I want to buy real estate in India.",No,False,Where can I go on a hay ride in Pennsylvania?,,are you interested in a specific area in pennsylvania for hayrides,No,"No, I just want to know where I can go on a hayride in general.",,,,True,,,Tell me about kiwi,answer_2,,
"What was the 2008 budget for Cass County, MO?",which part of cass county are you referring to,I dont know,I want to know the 2008 budget for the entire county.,True,What computer programming languages are there?,are you interested in programming courses for children,"No, I want to know what computer programming languages are there.",No,False,"What is the address of the Ontario, CA airport?",would you like to know more about ontarioca airport services,No I would like to know the address of the oca airport,"No, I just need the address.",True,Detailed information about kiwi fruit.,Are you interested in kiwi fruit?,I am.,"yes, but also more on the side of things alltogether right left",,Find the sports section of the Milwaukee Journal Sentinel.,,which section of the paper do you want,Yes I want the sports section of the milwaukeejournalstation,I want the sports section.,,,,True,Tell me about kiwi,answer_1,,,,
Detailed information about kiwi bird.,Are you interested in kiwi fruit?,"yes, most fruit I love it like disco twist",no,,How do you treat severe angular cheilitis?,are you interested in home remedies for angular cheilitis,"No, I want to know how to treat severe angular cheilitis.",Yes,False,Find calorie counts and other nutritional information about Starbucks products.,are you looking for a specific web page,No I am looking for calorie count and nutritional information,"Yes, I want to find calorie counts and other nutritional information about Starbucks products.",True,Provide pressure washer reviews and/or ratings.,do you want a pressure washer with a certain engine,I want to know the reviews and ratings for pressure washers.,No I want ratings and ratings,False,Find information on shoeing horses and horseshoe problems.,,do you want to know about how horse hooves are grown,"No, I want to know about shoeing horses and horseshoe problems.",Yes I need information about shoeing horses and horseshoe problems,,,,False,,,Tell me about kiwi,answer_2,,
What are the educational benefits of social networking sites?,what type of educational advantages are you seeking from social networking,I dont know,I want to know what are the educational benefits of social networking sites.,True,Detailed information about kiwi bird.,Are you interested in kiwi fruit?,not not actually really in fruit of kiwi,"no, I am not",,How is workplace diversity achieved and managed?,do you need the definition of diversity,"No, I want to know how workplace diversity is achieved and managed.",Yes I want to kyesw the definition of the best way of achieving it,False,What was the name of Elvis Presley's home?,do you mean the home that elvis presley grew up in,No,Yes.,True,"I want to find online guides, tips, and checklists for planning a wedding.",,are you looking for advice on wedding budgeting,No I want to find online resources on wedding planning,"Yes, I want to find online guides, tips, and checklists for planning a wedding.",,Tell me about kiwi,answer_2,True,,,,,,
image of the Declaration of Independence at the National Archives,which use of that quote are you interested in,I want to know about the image of the Declaration of Independence at the National Archives.,This is not related to my search,False,Detailed information about kiwi bird.,Are you interested in kiwi fruit?,not not actually really in fruit of kiwi,"no, I am not",,Find a black-and-white outline map of the United States such that a child could color.,do you want to see a map of united states territories,"No, I want a black-and-white outline map of the United States such that a child could color.",Yes,False,What famous generals fought in the US civil war?,do you want specific or general details on battles,I want to know about famous generals.,No I want to know the famous battles,False,What problems have afflicted the Ford Edge car model?,,what problems with the ford edge are you asking about transmission liftgate brakes etc,Yes I want to kyesw about the car model,I don't know. That's why I'm asking.,,Tell me about kiwi,answer_2,True,,,,,,
"What is the address of the Ontario, CA airport?",do you mean an airport in canada,"No, I mean an airport in California.",No I am looking for a specific address,False,Find reviews of the Ritz Carlton Lake Las Vegas.,do you need a reservation at the ritz carlton in las vegas,"No, I need reviews of the Ritz Carlton Lake Las Vegas.",No I want reviews,False,Information about kiwi fruit.,Are you interested in kiwi fruit?,"yes, quite punctionality of the fruitz","no, I am not",,"Find flight information for the Ontario, CA airport.",do you know how long your trip will be,Yes I am looking for the actual flight information,I need a round trip ticket from September 1-5.,True,"Find the homepage for the city of Hoboken, NJ.",,do you want to visit hoboken,"No, I want the homepage for the city of Hoboken, NJ.",No I want to find the city of hoboken ny,,,,False,,,,,Tell me about kiwi,answer_2
Find some recipes from The Pampered Chef.,are you wondering what pampered chef sells,No I want recipes from the pampered cook,"No, I want to know about their recipes.",True,Find information for visitors and immigrants about living in India.,what part of india are you interested in,I'm interested in living in India.,I dont know,False,Find information on the Land Rover Defender sport-utility vehicle.,is your child playing soccer,Yes,"No, I want to know about the Land Rover Defender sport-utility vehicle.",True,Detailed information about kiwi fruit.,Are you interested in kiwi fruit?,I am.,"yes, but also more on the side of things alltogether right left",,"Find demographic information about Cass County, MO.",,are you interested in a list of homes for sale in cass county,No,"No, I want to know the population ofCass County, MO.",,,,True,Tell me about kiwi,answer_1,,,,
"I would like to find reviews of The Pampered Chef programs, products, and recipes.",would you like to see the current pampered chef catalog,"No, I would like to find reviews of The Pampered Chef programs, products, and recipes.",Yes I want to read reviews of the pampered cook programs and recipes,False,Detailed information about kiwi bird.,Are you interested in kiwi fruit?,not not actually really in fruit of kiwi,"no, I am not",,"Looking for any historical information related to Orcas Island: geographical, buildings, people, infrastructure, etc.",would you like to learn about the origin of the name of orcas island,"No, I want to know about the geographical, buildings, people, infrastructure, etc.",Yes,False,Find information on kiwi fruit.,would you like to know how to grow kiwi fruit,No,"No, I would like to know the nutritional value of kiwi fruit.",True,discussion of the impending sale of the Rocky Mountain News,,are you interested inn information about the national park,Yes,"No, I want to know about the sale of the Rocky Mountain News.",,Tell me about kiwi,answer_2,True,,,,,,
Find some recipes from The Pampered Chef.,would you like to see the current pampered chef catalog,Yes I would like some recipes from the pampered cook,"No, I want to see some recipes.",True,Find specific events in New York City connected to Poem In Your Pocket Day.,did you want to know when poem in your pocket day is,No I want to know events,"Yes, I want to know when poem in your pocket day is and what specific events are happening in New York City for it.",True,Information about kiwi fruit.,Are you interested in kiwi fruit?,"yes, quite punctionality of the fruitz","no, I am not",,What causes angular cheilitis?,are you looking for best treatments for angular cheilitis,No,"No, I want to know what causes angular cheilitis.",True,Find printable maps of the United States.,,are you interested in learning more about the us map,"No, I just want to find a printable map of the United States.",Yes I am looking for printable maps of the us map,,,,False,,,,,Tell me about kiwi,answer_2
List online computer programming tutorials.,are you looking for nearby coding classes,No I am looking for tutorials about computer programming,"No, I want a list of online tutorials.",True,What home remedies are there for angular cheilitis?,are you looking for the definition of angular cheilitis,Yes I want to kyesw about home remedies,"No, I am looking for home remedies for angular cheilitis.",True,"Find a street-level map of Hoboken, NJ.",are you looking for hoboken hotels,"No, I want a street-level map of Hoboken, NJ",No I am looking for a street level map of the city,False,Detailed information about kiwi fruit.,Are you interested in kiwi fruit?,I am.,"yes, but also more on the side of things alltogether right left",,Find information on the Kentucky Derby Museum.,,are you interested in the racing schedule,"No, I want to go to the Kentucky Derby Museum.",No I am looking for general information on the kentucky Derby museum,,,,False,Tell me about kiwi,answer_1,,,,
